,Number,Headline
0,1.,Valve Employee Handbook [pdf]
1,2.,Authors’ names have ‘astonishing’ influence on peer reviewers: Study
2,3.,Researchers Find ‘Significant Rates’ of Sinking Ground in Houston Suburbs
3,4.,"If it goes somewhere, it’s a link. If it does something, it’s a button"
4,5.,How to Prove You Know a Secret Without Giving It Away
5,6.,I wish my web server were in the corner of my room
6,7.,Show HN: Komorebi – A tiling window manager for Windows 10/11 written in Rust
7,8.,Lite: A lightweight text editor written in Lua
8,9.,Six Shooter Glue Gun
9,10.,Brex layoffs
10,11.,An unexpected revival of Firefox OS
11,12.,Simulating Wind on Procedural Terrain Using Lattice Boltzmann Method
12,13.,The Little Typer (2018)
13,14.,Show HN: Open-Sourcing InboxSDK (YC S11) – Build Apps in Gmail
14,15.,We built voice modulator to mask gender in tech interviews
15,16.,Aerc – a pretty good (terminal) email client
16,17.,The Curious Case of Norway’s Demon Wall
17,18.,EasyPost (YC S13) Is Hiring
18,19.,Wisk Aero: Autonomous Urban Air Mobility
19,20.,Linux NILFS file system: automatic continuous snapshots
20,21.,Introduction to Dlang [video]
21,22.,"Switzerland discriminating against men on pension benefits, ECHR finds"
22,23.,Show HN: A beginner’s guide to finding user needs
23,24.,How to read variables optimized out in GDB?
24,25.,Understanding HTML with Large Language Models
25,26.,Show HN: Rmt an alternative to rm with trash written in Rust
26,27.,Antikythera Mechanism: Evidence of a Lunar Calendar (2020)
27,28.,Carmack Unscripted
28,29.,GitHub Copilot exposes names in TODO comments
29,30.,Layout Breakouts with CSS Grid
